slug,name,name_ar,category,default_unit,grams_per_piece,allergens,possible_allergens,aliases,staple,perishable
pomegranate,pomegranate,رمان,fruit,piece,280,,,رمان|romman|rumman|roman,0,1
pomegranate-molasses,pomegranate molasses,دبس رمان,sauces,ml,,,,دبس الرمان|debs romman|debs roman|debs el romman,0,0
popcorn-kernels,popcorn kernels,فشار,carbs,g,,,,فشار|popcorn|ذرة فشار|popping corn|feshar,0,0
potatoes,potatoes,بطاطس,vegetables,g,150,,,potato|batates|batatis,1,0
powdered-milk,powdered milk,لبن بودرة,dairy,g,,dairy,,milk powder|لبن بودرة|بودرة لبن,0,0
processed-cheese,processed cheese,جبنة مثلثات,dairy,g,,dairy,,جبنة مثلثات|مثلثات|cheese triangles|جبنة سايحة|cheese spread|gebna mothalathat|البقرة الضاحكة|laughing cow|جبنة شرائح|cheese slices,0,1
prunes,prunes,برقوق مجفف,fruit,g,,,,برقوق مجفف|bargo2 megaffaf|prune,0,0
puff-pastry,puff pastry,عجينة باف,bakery,g,,gluten|dairy,,باف باستري|عجين مورق,0,1
pumpkin,pumpkin,قرع عسلي,vegetables,g,,,,قرع|قرع عسلي|squash,0,1
pumpkin-seeds,pumpkin seeds,لب أبيض,pantry,g,,,,لب ابيض|pepitas,0,0
purslane,purslane,رجلة,vegetables,g,,,,رجلة|regla|purslane|رجله|بقلة,0,1
quail,quail,سمان,protein,piece,200,,,semman|سمان|simman|quails|سمانة|semman baladi,0,1
quinoa,quinoa,كينوا,carbs,g,,,,كينوا|quinua,0,0
rabbit,rabbit,أرنب,protein,g,,,,أرانب|لحم أرنب|arnab|araneb,0,1
radish,radish,فجل,vegetables,g,20,,,فجل|figl|fegl|figl baladi|فجل أبيض|white radish,0,1
raisins,raisins,زبيب,fruit,g,,,,zabib|زبيب|sultanas,0,0
ranch-dressing,ranch dressing,صوص رانش,sauces,ml,,dairy|eggs,,رانش|ranch|صوص رانش|ranch dressing,0,1
rice,rice,أرز,carbs,g,,,,egyptian rice|white rice|roz|رز|rozz|arz|roz masri|أرز مصري|egyptian rice|أرز سوشي|sushi rice,1,0
rice-flour,rice flour,دقيق أرز,carbs,g,,,,دقيق أرز|rice flour|دقيق الأرز|da2ee2 roz,0,0
rice-vinegar,rice vinegar,خل الأرز,sauces,ml,,,,خل الأرز|خل ارز|rice wine vinegar|khal roz,0,0
rocket,rocket,جرجير,vegetables,g,,,,arugula|gargeer|جرجير,0,1
roqaq,roqaq,رقاق,bakery,g,,gluten,,رقاق|ورق رقاق|roqaq sheets|رقاق فطير|ro2a2|raqaq,0,0
rose-water,rose water,ماء ورد,pantry,ml,,,,ماء الورد|maward,0,0
rosemary,rosemary,روزماري,spices,g,,,,روزماري|حصى البان|hasa el ban|iklil el gabal,1,0
roumy-cheese,roumy cheese,جبنة رومي,dairy,g,,dairy,,romy|ras cheese|جبنه رومي|gebna rumi|gebna roumi|roumy|rumi,0,1
saffron,saffron,زعفران,spices,g,,,,زعفران|zaafaran|za3faran|zafaran,0,0
sage,sage,مريمية,spices,g,,,,مريمية|maramiya|marmareya|مرمرية|salvia|maramia,0,0
sahlab,sahlab,سحلب,pantry,g,,,dairy,سحلب|sahlab|salep|مسحوق السحلب|sahlab powder,0,0
salmon,salmon,سالمون,protein,g,180,fish,,salmon fillet|سلمون|سالمون|samak salmon,0,1
salt,salt,ملح,spices,tsp,6,,,malh|table salt|ملح طعام|melh|malh nakhy,1,0
salted-fish,fesikh,فسيخ,protein,g,,fish,,fesikh|فسيخ|salted mullet,0,1
sardines,sardines,سردين,protein,g,,fish,,sardine|سردين|سردينة,0,1
sausage,beef sausage,سجق,protein,g,40,,,sogo2|sogok|سجق بلدي|سجق اسكندراني|sogo2 eskandarani,0,1
sausage-casing,sausage casing,ممبار,protein,g,,,,ممبار|mombar|mumbar|momber|مصران|beef casing|intestine casing,0,1
sea-bass,sea bass,قاروص,protein,piece,400,fish,,qaros|قاروص|وقار|branzino,0,1
sea-bream,sea bream,دنيس,protein,piece,350,fish,,denis|دنيس|gilthead,0,1
semit,semit,سميط,bakery,piece,90,gluten,,سميط|سميت|semeet|simit|عيش سميط|semit bread,0,0
semolina,semolina,سميد,carbs,g,,gluten,,سميد|smeed|farina,0,0
sesame-oil,sesame oil,زيت سمسم,pantry,ml,,sesame,,زيت السمسم|zeit simsim|sesame seed oil,0,0
sesame-seeds,sesame seeds,سمسم,spices,g,,sesame,,سمسم|simsim|semsem|simsim abyad,1,0
shawarma-spice,shawarma spice,بهارات شاورما,spices,g,,,,بهارات شاورما|shawarma spice|shawarma seasoning|تتبيلة شاورما,0,0
shrimp,shrimp,جمبري,protein,g,12,shellfish,,prawns|gambari|جمبرى,0,1
sole-fish,sole,سمك موسى,protein,g,,fish,,سمك موسى|samak moosa|samak musa|سمك موسي|dover sole|sole fillet,0,1
sour-cream,sour cream,كريمة حامضة,dairy,g,,dairy,,كريمة حامضة|krema hamda|soured cream|كريمه حامضه,0,1
soy-sauce,soy sauce,صوص الصويا,sauces,ml,,soy|gluten,,صويا صوص|soya sauce|صوص صويا,0,0
soybeans,soybeans,فول الصويا,protein,g,,soy,,soya|فول صويا|soy beans,0,0
spinach,spinach,سبانخ,vegetables,g,,,,sabanekh|سبانخ مفرومة|sbanekh|sabanek,0,1
split-peas,split peas,بسلة مجروشة,protein,g,,,,بسلة مجروشة|yellow split peas|besla magrousha|bisilla magrousha,0,0
spring-garlic,spring garlic,ثوم أخضر,vegetables,g,,,,ثوم اخضر|green garlic|toum akhdar|tom akhdar,0,1
sriracha,sriracha,سريراتشا,sauces,ml,,,,سريراتشا|siracha|سيراتشا|sriracha sauce|شيراتشا,0,0
star-anise,star anise,ينسون نجمي,spices,g,,,,ينسون نجمي|star anise|يانسون نجمي|badian,0,0
stock-cube,stock cube,مكعب مرقة,pantry,piece,10,,,maggi|مكعب مرقة|bouillon|شوربة مكعبات|ماجي|مكعب ماجي|maggie|بودرة مرقة|bouillon powder|bouillon,1,0
strawberry,strawberries,فراولة,fruit,g,20,,,strawberry|فراولة|فراوله|farawla|frawla|faraola,0,1
sugar,sugar,سكر,pantry,g,,,,sokkar|white sugar|سكر أبيض|sukkar|sokar,1,0
sugarcane,sugarcane,قصب,fruit,g,,,,قصب|asab|sugarcane|عصير قصب|sugarcane juice|قصب السكر,0,1
sumac,sumac,سماق,spices,g,,,,سماق|summaq|sommak|simak,1,0
sun-dried-tomato,sun-dried tomatoes,طماطم مجففة,vegetables,g,,,,طماطم مجففة|sundried tomato|tamatem megaffafa|outa megaffafa,0,0
sunflower-oil,vegetable oil,زيت,sauces,ml,,,,oil|sunflower oil|cooking oil|زيت عباد الشمس|zeit|zait|zeit abbad el shams,1,0
sunflower-seeds,sunflower seeds,لب,pantry,g,,,,لب|seeds|لب سوري,0,0
sweet-chili-sauce,sweet chili sauce,صوص حار حلو,sauces,ml,,,,صوص حار حلو|sweet chili|sweet chilli sauce|صوص شيلي حلو,0,0
sweet-potato,sweet potato,بطاطا,vegetables,g,180,,,batata|بطاطا|yam|bataa|bataata|batata helwa,0,1
tahini,tahini,طحينة,sauces,tbsp,15,sesame,,tehina|sesame paste|طحينه|ta7ina|ta7eena,0,0
tahini-salad,tahina salad,صلصة طحينة,sauces,g,,sesame,,,0,1
talaga-cheese,talaga cheese,جبنة طلاجة,dairy,g,,dairy,,طلاجة|talaga|talagah|gebna talaga|جبنه طلاجه|gebna talagah,0,1
tamarind,tamarind,تمر هندي,pantry,g,,,,تمر هندي|tamr hindi|تمرهندي|tamarhindi|tamarind paste|عصير تمر هندي,0,0
taro,taro,قلقاس,vegetables,g,,,,olocas|قلقاس|colocasia,0,1
tartar-sauce,tartar sauce,صوص تارتار,sauces,ml,,eggs,,تارتار|tartar|صوص تارتار|tartare sauce,0,1
tea,tea,شاي,pantry,g,,,,شاي|shay|tea leaves,1,0
thousand-island,thousand island dressing,صوص ثاوزند,sauces,ml,,eggs,,ثاوزند|thousand island|صوص ثاوزند|thousand island dressing,0,1
thyme-dried,thyme,زعتر,spices,g,,,,زعتر|zaatar|zatar,1,0
tilapia,tilapia,بلطي,protein,g,300,fish,,fish|bolti|بلطى|سمك,0,1
toast-bread,toast bread,عيش توست,bakery,slice,30,gluten,,toast|white bread|sandwich bread|توست,0,1
tofu,tofu,توفو,protein,g,,soy,,توفو|bean curd,0,1
tomato-paste,tomato paste,صلصة طماطم,sauces,tbsp,16,,,salsa|tomato puree|صلصه|salsa tamatem|salsa tomatem|معجون طماطم|tomato concentrate,1,0
tomato-sauce,tomato sauce,صوص طماطم مطبوخ,sauces,g,,,,passata|بيوريه طماطم|tomato passata|صلصة مطبوخة,0,0
tomatoes,tomatoes,طماطم,vegetables,piece,120,,,tomato|oota|طماطم حمراء|قوطة|outa|tamatem|auta,0,1
tongue,beef tongue,لسان عجل,protein,g,,,,لسان عجل|beef tongue|لسان بقري|lesan egl|ox tongue,0,1
tortilla,tortilla,تورتيلا,bakery,piece,60,gluten,,تورتيلا|wrap|خبز تورتيلا,0,1
tripe,tripe,كرشة,protein,g,,,,كرشة|kersha|كرشه|tripe|beef tripe,0,1
trotters,trotters,كوارع,protein,g,,,,كوارع|kawareh|kaware|kawari3|أكارع|cow feet|calf trotters,0,1
tuna-can,canned tuna,تونة,protein,can,140,fish,,tuna|tuna can|تونه|تونة بالزيت|tuna in oil,0,0
turkey,turkey,ديك رومي,protein,g,,,,turkey breast|ديك رومي|deek roumi|dik roumi|deek rumi|ديك رومى,0,1
turmeric,turmeric,كركم,spices,g,,,,كركم|kurkum|korkom|kurkom,1,0
turnip,turnip,لفت,vegetables,g,120,,,لفت|left|lift|left abyad,0,1
vanilla,vanilla,فانيليا,spices,g,,,,فانيليا|vanilla extract|فانيلا,1,0
veal,veal,بتلو,protein,g,,,,bitello|بتلو|لحم بتلو|kandooz|kandoz|كندوز,0,1
vegetable-shortening,vegetable shortening,سمن نباتي,pantry,g,,,,سمن نباتي|shortening|vegetable shortening|سمن صناعي,0,0
vermicelli,vermicelli,شعرية,carbs,g,,gluten,,sha3reya|shaareya|شعريه|شعرية للأرز|rice vermicelli,0,0
vine-leaves,vine leaves,ورق عنب,vegetables,g,,,,wara enab|wara2 enab|warak enab|ورق العنب|وراق عنب|grape leaves|warak 3enab,0,1
vinegar,vinegar,خل,sauces,ml,,,,khal|white vinegar|خل أبيض|أكياس خل|vinegar sachet,1,0
vinegar-apple,apple cider vinegar,خل تفاح,pantry,ml,,,,خل التفاح|cider vinegar,0,0
walnuts,walnuts,عين جمل,pantry,g,,nuts,,walnut|ein gamal|عين الجمل,0,0
water,water,ماء,other,ml,,,,مياه|ماء|maya,1,0
watercress,watercress,بقدونس مائي,vegetables,g,,,,cress|حريف|رشاد,0,1
watermelon,watermelon,بطيخ,fruit,g,,,,بطيخ|batikh|batteekh|battikh|bateekh,0,1
wheat-berries,wheat berries,قمح,carbs,g,,gluten,,قمح|wheat|حب القمح|قمح للبليلة|belila wheat|whole wheat berries,0,0
whipping-cream,whipping cream,كريمة خفق,dairy,ml,,dairy,,كريمة خفق|whipping cream|كريمة للخفق|heavy whipping cream|krema khaf2,0,1
white-beans,white beans,فاصوليا بيضاء,pantry,g,,,,fasolia|cannellini|فاصوليا,0,0
white-cheese,white cheese,جبنة بيضاء,dairy,g,,dairy,,feta|gebna beida|domiati|جبنه بيضاء|جبنة فيتا|gebna bayda|gebna beda|gibna beida|istanbouly|إسطنبولي|istambouli|baramili|برميلي|gebna baramili|دمياطي|فيتا,0,1
white-pepper,white pepper,فلفل أبيض,spices,g,,,,فلفل ابيض|felfel abyad|filfil abyad,1,0
whole-chicken,whole chicken,فرخة,protein,piece,1200,,,farkha|فرخه|farkha kamla|فرخة كاملة|whole bird|farkha baladi|فرخة بلدي,0,1
worcestershire,worcestershire sauce,صوص ورشستر,sauces,ml,,fish,,ورشستر|worcester,0,0
yeast,yeast,خميرة,pantry,g,,,,خميرة|khamira|instant yeast|خميرة فورية,1,0
yogurt,yogurt,زبادي,dairy,g,105,dairy,,zabady|plain yoghurt|زبادى|zabadi|zabadi baladi,0,1
zaatar-blend,zaatar blend,زعتر مخلوط,spices,g,,sesame,,زعتر بالسمسم|zaatar blend|زعتر مخلوط|zaatar mix|zaatar blend mix|زعتر مع سمسم,0,0
zucchini,zucchini,كوسة,vegetables,piece,160,,,courgette|kosa|koosa|kousa|كوسه,0,1
